Institution,Amount (USD)
Columbia University,"$41,520"
Princeton University,"$35,416"
Stanford University,"$35,310"
Brown University,"$34,856"
Northwestern University,"$34,176"
University of Southern California,"$34,000"
Yale University,"$33,600"
Cornell University,"$33,484"
University of Pennsylvania,"$32,255"
Southern Methodist University,"$32,160"
University of Chicago,"$32,000"
Emory University,"$31,775"
Johns Hopkins University,"$31,500"
Duke University,"$31,160"
New York University,"$30,238"
Vanderbilt University,"$30,000"
Boston University,"$29,521"
Rice University,"$28,413"
Washington University in St. Louis,"$28,152"
"Loyola University, Chicago","$28,000"
Carnegie Mellon University,"$27,500"
Tufts University,"$26,235"
Boston College,"$25,500"
Baylor University,"$25,000"
Brandeis University,"$25,000"
University of Notre Dame,"$25,000"
University of Miami,"$22,990"
Lehigh University,"$22,570"
Case Western Reserve University,"$22,000"
Texas Christian University,"$22,000"
Syracuse University,"$19,890"
Saint Louis University,"$18,000"
University of Rochester,"$18,000"
